Date,pca
1881-01-01,-453.02166543958765
1881-02-01,-454.6035224227511
1881-03-01,-453.22760000820136
1881-04-01,-454.7866064129942
1881-05-01,-448.116635564038
1881-06-01,-446.5458141943551
1881-07-01,-452.2610873547782
1881-08-01,-457.4399640974716
1881-09-01,-460.77379553469416
1881-10-01,-463.6222664580398
1881-11-01,-461.881571117119
1881-12-01,-465.2023744838244
1882-01-01,-466.8626332607572
1882-02-01,-470.20789797783607
1882-03-01,-470.3890649716808
1882-04-01,-471.3181356800838
1882-05-01,-473.4871720207012
1882-06-01,-474.8995132026689
1882-07-01,-468.28035470282026
1882-08-01,-466.0132222634099
1882-09-01,-461.9964239151256
1882-10-01,-464.10728375221026
1882-11-01,-467.9269020383638
1882-12-01,-466.37972530723675
1883-01-01,-466.9514636256506
1883-02-01,-470.35566122867704
1883-03-01,-468.0808053430432
1883-04-01,-464.80947621230183
1883-05-01,-465.6872785372532
1883-06-01,-461.5335627167103
1883-07-01,-461.0924947388289
1883-08-01,-466.31122508392855
1883-09-01,-464.0059056472544
1883-10-01,-467.0457662974317
1883-11-01,-464.3228307067352
1883-12-01,-467.85789676184095
1884-01-01,-471.11175252585156
1884-02-01,-468.2826289090689
1884-03-01,-468.69336733397824
1884-04-01,-471.48324453291923
1884-05-01,-477.9750899620684
1884-06-01,-481.9873841555167
1884-07-01,-481.0156330428712
1884-08-01,-475.04749410930043
1884-09-01,-477.21436449703805
1884-10-01,-479.43256333356885
1884-11-01,-479.322048568534
1884-12-01,-478.4794432065384
1885-01-01,-480.7360107883619
1885-02-01,-478.89151843730184
1885-03-01,-476.4906684494938
1885-04-01,-477.82776659019976
1885-05-01,-476.7480808004087
1885-06-01,-474.90265236593007
1885-07-01,-472.3506156798828
1885-08-01,-466.53849989320435
1885-09-01,-466.6751084381588
1885-10-01,-460.32155840415044
1885-11-01,-454.21175943725086
1885-12-01,-457.87116883056143
1886-01-01,-455.14322043631773
1886-02-01,-452.8080511405445
1886-03-01,-453.9605815842581
1886-04-01,-454.18238113019675
1886-05-01,-453.66222882234644
1886-06-01,-446.46953234307875
1886-07-01,-446.0819633719883
1886-08-01,-446.6748674266867
1886-09-01,-443.2926735934095
1886-10-01,-439.9109440332255
1886-11-01,-436.5284866470001
1886-12-01,-441.7498921324823
1887-01-01,-446.2483123078058
1887-02-01,-448.6464397082465
1887-03-01,-445.6485043089282
1887-04-01,-442.6580194049802
1887-05-01,-440.35296722359703
1887-06-01,-442.7410394862025
1887-07-01,-444.47808583062397
1887-08-01,-449.252392630553
1887-09-01,-449.42362636472296
1887-10-01,-455.0711039384155
1887-11-01,-454.14243617168813
1887-12-01,-457.5283390663947
1888-01-01,-457.9542613865045
1888-02-01,-457.3216010419553
